"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 17 17:52:39 GMT 2023","Sun Dec 17 17:52:39 GMT 2023","206","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page",""
"broken","Sun Dec 17 17:52:39 GMT 2023","Sun Dec 17 17:52:39 GMT 2023","200","","Verify Top Navigation bar","","Top Navigation bar Editions button is functional","","Top Navigation bar Editions button is functional",""
"broken","Sun Dec 17 17:52:37 GMT 2023","Sun Dec 17 17:52:39 GMT 2023","1484","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page",""
"broken","Sun Dec 17 17:52:39 GMT 2023","Sun Dec 17 17:52:39 GMT 2023","232","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page",""
