"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 14:43:40 GMT 2023","Sun Oct 08 14:43:49 GMT 2023","8352","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","  I want to verify that the current stock value on the page
  is within the values of the the 52 Week Range from the page"
"broken","Sun Oct 08 14:43:49 GMT 2023","Sun Oct 08 14:45:29 GMT 2023","100476","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","  I want to verify that the current stock value on the page
  is within the values of the the 52 Week Range from the page"
"passed","Sun Oct 08 14:43:13 GMT 2023","Sun Oct 08 14:43:40 GMT 2023","26766","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","  I want to verify that the current stock value on the page
  is within the values of the the 52 Week Range from the page"
