"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 17 17:50:43 GMT 2023","Sun Dec 17 17:52:23 GMT 2023","100476","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page",""
"passed","Sun Dec 17 17:50:27 GMT 2023","Sun Dec 17 17:50:37 GMT 2023","9352","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page",""
"passed","Sun Dec 17 17:50:37 GMT 2023","Sun Dec 17 17:50:43 GMT 2023","6065","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page",""
"passed","Sun Dec 17 17:52:23 GMT 2023","Sun Dec 17 17:52:45 GMT 2023","21882","","Verify Top Navigation bar","","Top Navigation bar Editions button is functional","","Top Navigation bar Editions button is functional",""
